whole_scheme,whole_code,part_scheme,part_code
RegioStaR2,1,RegioStaR4,11
RegioStaR2,1,RegioStaR4,12
RegioStaR2,2,RegioStaR4,21
RegioStaR2,2,RegioStaR4,22
RegioStaR4,11,RegioStaR17,111
RegioStaR4,11,RegioStaR17,112
RegioStaR4,11,RegioStaR17,113
RegioStaR4,11,RegioStaR17,114
RegioStaR4,11,RegioStaR17,115
RegioStaR4,12,RegioStaR17,121
RegioStaR4,12,RegioStaR17,123
RegioStaR4,12,RegioStaR17,124
RegioStaR4,12,RegioStaR17,125
RegioStaR4,21,RegioStaR17,211
RegioStaR4,21,RegioStaR17,213
RegioStaR4,21,RegioStaR17,214
RegioStaR4,21,RegioStaR17,215
RegioStaR4,22,RegioStaR17,221
RegioStaR4,22,RegioStaR17,223
RegioStaR4,22,RegioStaR17,224
RegioStaR4,22,RegioStaR17,225
RegioStaR5,51,RegioStaR17,111
RegioStaR5,52,RegioStaR17,112
RegioStaR5,52,RegioStaR17,121
RegioStaR5,53,RegioStaR17,113
RegioStaR5,53,RegioStaR17,114
RegioStaR5,53,RegioStaR17,115
RegioStaR5,53,RegioStaR17,123
RegioStaR5,53,RegioStaR17,124
RegioStaR5,53,RegioStaR17,125
RegioStaR5,54,RegioStaR17,211
RegioStaR5,54,RegioStaR17,213
RegioStaR5,54,RegioStaR17,214
RegioStaR5,54,RegioStaR17,221
RegioStaR5,54,RegioStaR17,223
RegioStaR5,54,RegioStaR17,224
RegioStaR5,55,RegioStaR17,215
RegioStaR5,55,RegioStaR17,225
RegioStaR7,71,RegioStaR17,111
RegioStaR7,72,RegioStaR17,112
RegioStaR7,72,RegioStaR17,121
RegioStaR7,73,RegioStaR17,113
RegioStaR7,73,RegioStaR17,114
RegioStaR7,73,RegioStaR17,123
RegioStaR7,73,RegioStaR17,124
RegioStaR7,74,RegioStaR17,115
RegioStaR7,74,RegioStaR17,125
RegioStaR7,75,RegioStaR17,211
RegioStaR7,75,RegioStaR17,221
RegioStaR7,76,RegioStaR17,213
RegioStaR7,76,RegioStaR17,214
RegioStaR7,76,RegioStaR17,223
RegioStaR7,76,RegioStaR17,224
RegioStaR7,77,RegioStaR17,215
RegioStaR7,77,RegioStaR17,225
RegioStaR17,111,RegioStaR17-plus,1111
RegioStaR17,111,RegioStaR17-plus,1112
RegioStaR17,111,RegioStaR17-plus,1113
RegioStaRGem7,1,RegioStaR17,111
RegioStaRGem7,2,RegioStaR17,121
RegioStaRGem7,3,RegioStaR17,112
RegioStaRGem7,4,RegioStaR17,211
RegioStaRGem7,4,RegioStaR17,221
RegioStaRGem7,5,RegioStaR17,113
RegioStaRGem7,5,RegioStaR17,123
RegioStaRGem7,5,RegioStaR17,213
RegioStaRGem7,5,RegioStaR17,223
RegioStaRGem7,6,RegioStaR17,114
RegioStaRGem7,6,RegioStaR17,124
RegioStaRGem7,6,RegioStaR17,214
RegioStaRGem7,6,RegioStaR17,224
RegioStaRGem7,7,RegioStaR17,115
RegioStaRGem7,7,RegioStaR17,125
RegioStaRGem7,7,RegioStaR17,215
RegioStaRGem7,7,RegioStaR17,225
RegioStaRGem5,1,RegioStaR17,111
RegioStaRGem5,2,RegioStaR17,112
RegioStaRGem5,2,RegioStaR17,121
RegioStaRGem5,3,RegioStaR17,113
RegioStaRGem5,3,RegioStaR17,123
RegioStaRGem5,3,RegioStaR17,211
RegioStaRGem5,3,RegioStaR17,213
RegioStaRGem5,3,RegioStaR17,221
RegioStaRGem5,3,RegioStaR17,223
RegioStaRGem5,4,RegioStaR17,114
RegioStaRGem5,4,RegioStaR17,124
RegioStaRGem5,4,RegioStaR17,214
RegioStaRGem5,4,RegioStaR17,224
RegioStaRGem5,5,RegioStaR17,115
RegioStaRGem5,5,RegioStaR17,125
RegioStaRGem5,5,RegioStaR17,215
RegioStaRGem5,5,RegioStaR17,225
